"neighbourhood","neighbourhood_group","room_type","price","minimum_nights","number_of_reviews"
"East Harlem","Manhattan","Private room",64,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",36,1,12
"Maspeth","Queens","Entire home/apt",119,2,21
"Maspeth","Queens","Private room",50,30,14
"Gramercy","Manhattan","Entire home/apt",187,30,0
"Crown Heights","Brooklyn","Shared room",35,30,0
"Prospect-Lefferts Gardens","Brooklyn","Private room",35,30,0
"Midtown","Manhattan","Entire home/apt",799,1,1
"Morningside Heights","Manhattan","Private room",80,1,51
"Fort Greene","Brooklyn","Entire home/apt",90,30,4
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",262,4,0
"East Village","Manhattan","Entire home/apt",105,60,1
"Flatbush","Brooklyn","Entire home/apt",650,5,2
"Harlem","Manhattan","Entire home/apt",300,30,99
"Fort Greene","Brooklyn","Entire home/apt",145,30,0
"Gowanus","Brooklyn","Entire home/apt",260,10,1
"Chelsea","Manhattan","Entire home/apt",100,30,3
"Hell's Kitchen","Manhattan","Entire home/apt",396,3,73
"Crown Heights","Brooklyn","Entire home/apt",82,2,47
"Williamsburg","Brooklyn","Private room",250,30,0
"Williamsburg","Brooklyn","Private room",69,30,0
"Gowanus","Brooklyn","Entire home/apt",104,30,10
"Bay Ridge","Brooklyn","Private room",41,2,20
"Brooklyn Heights","Brooklyn","Entire home/apt",140,30,111
"Long Island City","Queens","Private room",70,30,34
"Brownsville","Brooklyn","Private room",45,30,4
"Woodside","Queens","Private room",37,30,0
"Woodside","Queens","Entire home/apt",80,30,86
"Bushwick","Brooklyn","Entire home/apt",82,4,6
"Upper East Side","Manhattan","Private room",85,1,78
"Springfield Gardens","Queens","Entire home/apt",106,3,21
"Mount Hope","Bronx","Entire home/apt",105,30,76
"Hell's Kitchen","Manhattan","Entire home/apt",200,20,0
"Concord","Staten Island","Private room",69,4,1
"Bushwick","Brooklyn","Private room",100,30,0
"Jamaica","Queens","Private room",90,1,18
"Bushwick","Brooklyn","Entire home/apt",125,3,41
"Highbridge","Bronx","Private room",95,1,0
"Jamaica","Queens","Private room",65,30,3
"East Village","Manhattan","Private room",85,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",105,30,0
"Sunset Park","Brooklyn","Entire home/apt",166,2,5
"Williamsburg","Brooklyn","Entire home/apt",200,30,3
"Queens Village","Queens","Private room",68,30,0
"Ditmars Steinway","Queens","Entire home/apt",100,3,3
"Williamsburg","Brooklyn","Private room",104,11,88
"Bedford-Stuyvesant","Brooklyn","Private room",46,30,0
"Upper West Side","Manhattan","Entire home/apt",149,30,1
"Williamsburg","Brooklyn","Private room",80,3,1
"Midtown","Manhattan","Entire home/apt",333,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",65,30,1
"Arverne","Queens","Entire home/apt",256,30,39
"Crown Heights","Brooklyn","Entire home/apt",180,2,89
"East Flatbush","Brooklyn","Private room",99,1,12
"Washington Heights","Manhattan","Private room",75,30,53
"Bedford-Stuyvesant","Brooklyn","Private room",80,30,0
"Chelsea","Manhattan","Private room",413,1,8
"Upper East Side","Manhattan","Entire home/apt",125,30,1
"Hell's Kitchen","Manhattan","Entire home/apt",120,30,0
"Greenpoint","Brooklyn","Private room",349,30,7
"Crown Heights","Brooklyn","Entire home/apt",59,30,15
"Chinatown","Manhattan","Entire home/apt",150,30,16
"Nolita","Manhattan","Private room",60,30,10
"Kips Bay","Manhattan","Entire home/apt",140,30,1
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",195,10,5
"Flatbush","Brooklyn","Entire home/apt",102,3,31
"Upper East Side","Manhattan","Private room",45,30,0
"Chelsea","Manhattan","Entire home/apt",215,30,2
"Sunnyside","Queens","Private room",60,1,10
"Carroll Gardens","Brooklyn","Entire home/apt",60,30,2
"Upper West Side","Manhattan","Private room",39,30,1
"Queens Village","Queens","Entire home/apt",125,30,0
"East Village","Manhattan","Entire home/apt",170,30,9
"Sunnyside","Queens","Private room",80,30,0
"Upper East Side","Manhattan","Private room",68,30,4
"Midtown","Manhattan","Entire home/apt",325,30,0
"Harlem","Manhattan","Entire home/apt",275,30,2
"Maspeth","Queens","Private room",50,30,41
"Woodside","Queens","Private room",45,30,1
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",150,30,4
"Sunset Park","Brooklyn","Entire home/apt",102,30,0
"Bushwick","Brooklyn","Private room",45,7,1
"Bushwick","Brooklyn","Entire home/apt",240,90,0
"Midtown","Manhattan","Private room",282,1,8
"Tribeca","Manhattan","Private room",249,1,0
"Bedford-Stuyvesant","Brooklyn","Private room",22,30,1
"Williamsburg","Brooklyn","Entire home/apt",165,30,343
"Woodside","Queens","Private room",65,30,22
"Woodside","Queens","Private room",38,30,0
"Eastchester","Bronx","Entire home/apt",130,2,17
"South Ozone Park","Queens","Entire home/apt",300,2,15
"Williamsburg","Brooklyn","Entire home/apt",190,30,41
"Queens Village","Queens","Private room",90,1,1
"Financial District","Manhattan","Private room",213,1,52
"Upper East Side","Manhattan","Entire home/apt",97,30,5
"Williamsburg","Brooklyn","Entire home/apt",105,30,8
"Bedford-Stuyvesant","Brooklyn","Private room",50,1,8
"Williamsburg","Brooklyn","Private room",70,30,1
"Washington Heights","Manhattan","Private room",60,1,58
"Gramercy","Manhattan","Entire home/apt",155,30,35
"Fort Greene","Brooklyn","Entire home/apt",295,30,8
"Murray Hill","Manhattan","Entire home/apt",289,30,0
"East Harlem","Manhattan","Entire home/apt",150,30,1
"Jackson Heights","Queens","Entire home/apt",190,2,5
"Kips Bay","Manhattan","Private room",88,2,1
"Harlem","Manhattan","Entire home/apt",195,30,2
"Flushing","Queens","Entire home/apt",1286,30,17
"Harlem","Manhattan","Entire home/apt",144,30,16
"Chelsea","Manhattan","Entire home/apt",386,1,48
"Brighton Beach","Brooklyn","Private room",51,30,11
"Inwood","Manhattan","Private room",119,30,16
"Williamsburg","Brooklyn","Entire home/apt",185,30,148
"Bushwick","Brooklyn","Private room",29,10,12
"Greenpoint","Brooklyn","Private room",104,30,7
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",110,30,0
"SoHo","Manhattan","Entire home/apt",319,5,19
"Flushing","Queens","Entire home/apt",95,30,127
"Bushwick","Brooklyn","Entire home/apt",80,30,1
"Fordham","Bronx","Private room",70,30,1
"Williamsburg","Brooklyn","Private room",45,30,1
"Bushwick","Brooklyn","Private room",55,2,17
"Hell's Kitchen","Manhattan","Entire home/apt",150,30,3
"Harlem","Manhattan","Private room",46,30,11
"East Harlem","Manhattan","Private room",81,30,1
"Park Slope","Brooklyn","Private room",65,30,14
"Boerum Hill","Brooklyn","Entire home/apt",250,10,14
"Greenwich Village","Manhattan","Entire home/apt",1761,3,51
"Hell's Kitchen","Manhattan","Private room",79,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",80,30,0
"Upper East Side","Manhattan","Entire home/apt",113,30,7
"Upper West Side","Manhattan","Entire home/apt",139,31,0
"Midtown","Manhattan","Entire home/apt",1100,120,0
"East Village","Manhattan","Entire home/apt",225,30,93
"Washington Heights","Manhattan","Entire home/apt",194,2,1
"West Village","Manhattan","Entire home/apt",120,60,0
"Midtown","Manhattan","Private room",165,1,6
"Crown Heights","Brooklyn","Private room",55,30,0
"Crown Heights","Brooklyn","Entire home/apt",212,1,7
"Williamsburg","Brooklyn","Entire home/apt",94,30,41
"Carroll Gardens","Brooklyn","Private room",40,30,1
"Upper East Side","Manhattan","Entire home/apt",240,30,0
"Sunset Park","Brooklyn","Entire home/apt",123,1,42
"Howard Beach","Queens","Entire home/apt",95,1,10
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",150,31,147
"Harlem","Manhattan","Private room",43,28,1
"Hell's Kitchen","Manhattan","Private room",125,30,1
"Sunnyside","Queens","Private room",75,30,15
"Chelsea","Manhattan","Entire home/apt",76,150,45
"Washington Heights","Manhattan","Private room",40,31,4
"East Village","Manhattan","Private room",70,30,0
"Crown Heights","Brooklyn","Private room",41,3,18
"Prospect Heights","Brooklyn","Entire home/apt",150,30,2
"Hell's Kitchen","Manhattan","Entire home/apt",413,30,0
"Harlem","Manhattan","Private room",80,30,3
"Upper West Side","Manhattan","Entire home/apt",150,30,11
"Bedford-Stuyvesant","Brooklyn","Private room",89,30,0
"Rosedale","Queens","Entire home/apt",150,2,2
"Astoria","Queens","Private room",79,30,1
"Cobble Hill","Brooklyn","Private room",318,3,19
"Crown Heights","Brooklyn","Entire home/apt",125,30,4
"Prospect-Lefferts Gardens","Brooklyn","Private room",65,1,40
"Gramercy","Manhattan","Entire home/apt",295,30,0
"Civic Center","Manhattan","Entire home/apt",160,2,2
"Ditmars Steinway","Queens","Entire home/apt",150,30,0
"East Flatbush","Brooklyn","Entire home/apt",108,30,28
"Claremont Village","Bronx","Private room",80,80,14
"Crown Heights","Brooklyn","Private room",58,2,13
"Upper West Side","Manhattan","Entire home/apt",315,30,11
"Midtown","Manhattan","Entire home/apt",150,4,0
"Harlem","Manhattan","Private room",50,30,2
"Woodhaven","Queens","Private room",60,30,5
"Hell's Kitchen","Manhattan","Private room",117,3,1
"Murray Hill","Manhattan","Entire home/apt",125,30,1
"Midtown","Manhattan","Entire home/apt",150,30,5
"East Village","Manhattan","Entire home/apt",250,30,7
"Hell's Kitchen","Manhattan","Private room",117,30,0
"Chinatown","Manhattan","Private room",70,30,2
"Greenpoint","Brooklyn","Private room",50,30,0
"Midtown","Manhattan","Entire home/apt",99,30,5
"Morningside Heights","Manhattan","Private room",55,30,0
"Canarsie","Brooklyn","Private room",53,3,25
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",124,2,23
"Washington Heights","Manhattan","Entire home/apt",71,30,9
"Hell's Kitchen","Manhattan","Entire home/apt",200,3,0
"Red Hook","Brooklyn","Private room",80,30,0
"Bushwick","Brooklyn","Private room",37,5,9
"Murray Hill","Manhattan","Private room",110,30,31
"Williamsburg","Brooklyn","Entire home/apt",120,5,1
"Williamsburg","Brooklyn","Entire home/apt",160,30,19
"Financial District","Manhattan","Private room",213,1,34
"Boerum Hill","Brooklyn","Entire home/apt",100,30,3
"Bedford-Stuyvesant","Brooklyn","Private room",135,1,2
"Harlem","Manhattan","Private room",125,2,72
"Wakefield","Bronx","Private room",35,1,55
"Chelsea","Manhattan","Entire home/apt",205,30,25
"Crown Heights","Brooklyn","Entire home/apt",220,30,5
"Harlem","Manhattan","Private room",202,1,2
"Ridgewood","Queens","Entire home/apt",60,30,0
"Upper West Side","Manhattan","Entire home/apt",206,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",45,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",150,3,15
"Kips Bay","Manhattan","Entire home/apt",371,30,0
"Financial District","Manhattan","Private room",120,7,32
"Woodhaven","Queens","Entire home/apt",99,5,28
"Wakefield","Bronx","Entire home/apt",499,7,25
"East Village","Manhattan","Private room",165,4,93
"Morningside Heights","Manhattan","Private room",80,30,0
"Bushwick","Brooklyn","Private room",85,30,1
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",150,30,2
"Williamsburg","Brooklyn","Private room",85,2,6
"Bronxdale","Bronx","Entire home/apt",85,2,0
"Boerum Hill","Brooklyn","Entire home/apt",300,30,27
"Crown Heights","Brooklyn","Private room",75,3,2
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",139,4,76
"Williamsburg","Brooklyn","Private room",62,30,1
"Midtown","Manhattan","Entire home/apt",117,30,0
"Ridgewood","Queens","Entire home/apt",85,30,7
"Bedford-Stuyvesant","Brooklyn","Private room",48,3,2
"Bedford-Stuyvesant","Brooklyn","Private room",43,30,0
"Woodside","Queens","Private room",34,30,0
"Upper East Side","Manhattan","Entire home/apt",150,30,0
"Hell's Kitchen","Manhattan","Entire home/apt",85,30,0
"Hell's Kitchen","Manhattan","Entire home/apt",39,100,2
"Chelsea","Manhattan","Entire home/apt",139,30,23
"Gowanus","Brooklyn","Entire home/apt",188,2,60
"Bedford-Stuyvesant","Brooklyn","Private room",86,1,5
"Financial District","Manhattan","Private room",183,1,2
"Crown Heights","Brooklyn","Private room",35,30,5
"Williamsburg","Brooklyn","Private room",50,30,0
"Astoria","Queens","Private room",44,30,0
"Longwood","Bronx","Private room",680,30,0
"Crown Heights","Brooklyn","Private room",60,30,0
"Upper West Side","Manhattan","Private room",75,30,1
"Crown Heights","Brooklyn","Entire home/apt",158,3,9
"East Harlem","Manhattan","Private room",60,30,1
"Chelsea","Manhattan","Entire home/apt",195,30,14
"Sheepshead Bay","Brooklyn","Private room",45,1,0
"Hell's Kitchen","Manhattan","Entire home/apt",127,30,0
"Williamsburg","Brooklyn","Entire home/apt",600,1,2
"Midtown","Manhattan","Entire home/apt",121,30,3
"Bedford-Stuyvesant","Brooklyn","Private room",56,30,1
"East Elmhurst","Queens","Entire home/apt",159,30,1
"Harlem","Manhattan","Entire home/apt",100,30,5
"Ridgewood","Queens","Private room",43,30,3
"Upper East Side","Manhattan","Private room",103,30,1
"Sunset Park","Brooklyn","Entire home/apt",110,30,66
"Rockaway Beach","Queens","Entire home/apt",92,30,36
"Murray Hill","Manhattan","Private room",411,1,0
"Chelsea","Manhattan","Entire home/apt",495,365,0
"Harlem","Manhattan","Private room",50,30,3
"Chelsea","Manhattan","Entire home/apt",138,2,7
"Financial District","Manhattan","Private room",215,1,39
"Bedford-Stuyvesant","Brooklyn","Private room",94,5,53
"Crown Heights","Brooklyn","Private room",57,2,111
"Upper West Side","Manhattan","Entire home/apt",800,3,2
"Upper East Side","Manhattan","Entire home/apt",150,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",73,2,18
"Bedford-Stuyvesant","Brooklyn","Private room",49,30,1
"Williamsburg","Brooklyn","Entire home/apt",153,5,0
"Elmhurst","Queens","Private room",55,1,8
"Fort Greene","Brooklyn","Entire home/apt",209,30,8
"Tribeca","Manhattan","Entire home/apt",178,30,4
"Williamsburg","Brooklyn","Entire home/apt",180,30,2
"Bushwick","Brooklyn","Private room",60,3,9
"Crown Heights","Brooklyn","Private room",75,1,0
"Williamsburg","Brooklyn","Entire home/apt",119,2,10
"West Village","Manhattan","Entire home/apt",190,30,0
"East Village","Manhattan","Entire home/apt",175,30,1
"Harlem","Manhattan","Entire home/apt",200,30,0
"Port Morris","Bronx","Shared room",31,1,42
"East Village","Manhattan","Entire home/apt",200,30,6
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",165,3,25
"Bushwick","Brooklyn","Private room",30,2,0
"Harlem","Manhattan","Private room",74,3,36
"Williamsbridge","Bronx","Private room",100,1,3
"Rockaway Beach","Queens","Entire home/apt",149,30,1
"Elmhurst","Queens","Entire home/apt",128,2,42
"Bedford-Stuyvesant","Brooklyn","Private room",35,20,37
"Ditmars Steinway","Queens","Private room",115,30,9
"Williamsburg","Brooklyn","Entire home/apt",125,180,0
"Windsor Terrace","Brooklyn","Entire home/apt",160,2,21
"Ridgewood","Queens","Private room",50,30,0
